clave1,uniTotal
20090928,6
20091001,40
20091007,30
20091008,6
20091014,12
20091015,6
20091016,1
20091019,36
20091020,12
20091021,6
20091023,30
20091026,6
20091027,6
20091028,12
20091029,19
20091103,13
20091104,6
20091106,54
20091110,54
20091111,36
20091112,24
20091113,12
20091116,12
20091117,30
20091118,42
20091119,12
20091120,56
20091123,54
20091124,21
20091125,6
20091126,90
20091127,11
20091130,6
20091201,19
20091202,16
20091203,26
20091204,36
20091207,6
20091209,78
20091210,12
20091211,30
20091214,72
20091215,56
20091216,36
20091217,12
20091218,72
20091221,24
20091223,6
20091228,6
20091229,18
20091231,48
20100104,88
20100105,30
20100107,12
20100108,30
20100112,52
20100113,31
20100115,30
20100118,80
20100120,18
20100121,24
20100122,16
20100125,36
20100126,36
20100127,12
20100128,25
20100129,78
20100202,18
20100203,12
20100204,24
20100205,27
20100208,61
20100209,24
20100210,24
20100212,48
20100216,18
20100217,24
20100218,36
20100219,60
20100222,30
20100223,30
20100224,31
20100225,60
20100226,6
20100302,42
20100303,24
20100304,66
20100305,72
20100308,56
20100309,36
20100310,6
20100311,56
20100312,24
20100315,36
20100316,6
20100319,36
20100322,36
20100323,6
20100324,73
20100329,12
20100330,72
20100331,18
20100405,13
20100406,30
20100407,34
20100408,251
20100409,54
20100412,6
20100413,31
20100414,64
20100415,18
20100416,18
20100419,6
20100420,10
20100422,1
20100423,5
20100426,2
20100427,8
20100428,2
20100503,3
20100504,1
20100506,2
20100507,3
20100511,3
20100512,1
20100513,3
20100517,1
20100518,2
20100519,4
20100520,5
20100521,5
20100524,3
20100525,12
20100526,6
20100527,12
20100528,1
20100531,3
20100601,3
20100603,2
20100604,1
20100607,4
20100608,3
20100609,1
20100610,4
20100611,6
20100614,2
20100615,7
20100616,1
20100618,6
20100621,8
20100622,1
20100623,2
20100624,3
20100628,2
20100630,6
20100701,3
20100702,5
20100705,4
20100706,2
20100707,2
20100708,2
20100709,1
20100712,5
20100714,4
20100715,4
20100716,1
20100719,4
20100720,2
20100721,7
20100722,6
20100726,2
20100727,2
20100729,7
20100730,7
20100802,4
20100803,1
20100804,2
20100805,1
20100810,6
20100812,8
20100813,2
20100818,8
20100819,1
20100820,7
20100823,7
20100824,1
20100825,4
20100827,8
20100830,6
20100901,2
20100903,2
20100906,4
20100907,5
20100908,13
20100910,3
20100913,6
20100914,5
20100915,8
20100916,1
20100920,9
20100921,2
20100922,1
20100923,3
20100924,7
20100927,1
20100928,1
20100930,14
20101001,7
20101004,5
20101005,3
20101006,5
20101007,1
20101008,6
20101011,2
20101013,5
20101014,4
20101015,7
20101018,3
20101019,2
20101020,1
20101021,1
20101025,4
20101026,2
20101028,1
20101029,1
20101103,5
20101104,1
20101105,7
20101108,2
20101109,5
20101110,8
20101111,5
20101112,7
20101115,1
20101117,5
20101119,5
20101122,10
20101123,4
20101124,2
20101125,1
20101126,1
20101129,2
20101130,1
20101201,13
20101203,2
20101207,4
20101209,3
20101210,4
20101213,2
20101216,6
20101217,2
20101220,3
20101223,4
20101227,2
20101228,5
