clave1,uniTotal
20090918,2
20090921,1
20090922,1
20090923,1
20090928,3
20091002,1
20091005,1
20091007,2
20091008,1
20091013,1
20091014,1
20091015,1
20091016,-1
20091022,3
20091029,2
20091103,3
20091104,1
20091109,2
20091110,3
20091112,1
20091113,2
20091116,1
20091117,2
20091119,1
20091120,2
20091123,1
20091124,2
20091125,1
20091126,0
20091127,1
20091201,1
20091210,1
20091211,1
20091215,1
20091216,2
20091217,1
20091218,1
20091221,1
20091222,2
20091223,2
20091229,1
20091230,2
20091231,1
20100104,1
20100105,1
20100107,1
20100108,2
20100111,5
20100112,1
20100115,1
20100118,1
20100120,2
20100121,2
20100126,2
20100128,2
20100201,1
20100202,1
20100203,1
20100204,2
20100205,1
20100208,1
20100209,1
20100210,1
20100217,1
20100218,1
20100219,2
20100224,1
20100225,3
20100303,3
20100304,1
20100305,3
20100308,1
20100309,5
20100310,4
20100311,2
20100312,1
20100315,1
20100316,2
20100317,1
20100318,2
20100322,4
20100324,1
20100325,1
20100326,2
20100331,4
20100405,1
20100407,1
20100408,1
20100409,2
20100412,2
20100416,3
20100420,1
20100421,1
20100423,1
20100427,1
20100428,4
20100503,2
20100504,1
20100505,1
20100507,1
20100510,2
20100511,4
20100513,1
20100514,2
20100517,2
20100520,2
20100521,1
20100524,1
20100525,2
20100527,2
20100531,1
20100610,2
20100611,4
20100614,2
20100615,1
20100616,2
20100621,1
20100622,1
20100623,1
20100624,1
20100701,3
20100702,2
20100706,2
20100707,1
20100712,1
20100714,1
20100715,1
20100716,1
20100719,1
20100720,6
20100721,2
20100722,1
20100723,2
20100726,1
20100727,1
20100802,1
20100804,3
20100805,2
20100806,2
20100809,1
20100810,2
20100811,2
20100813,2
20100818,1
20100819,1
20100820,2
20100823,3
20100824,4
20100827,1
20100830,4
20100831,1
20100903,1
20100906,1
20100907,4
20100908,5
20100909,1
20100910,1
20100913,2
20100914,4
20100915,1
20100916,2
20100917,1
20100920,4
20100921,2
20100922,3
20100924,2
20100927,1
20101004,2
20101005,2
20101006,4
20101007,2
20101008,3
20101011,3
20101013,3
20101015,3
20101018,2
20101021,3
20101022,1
20101026,5
20101027,1
20101028,3
20101029,2
20101102,5
20101103,3
20101104,1
20101105,1
20101108,3
20101109,2
20101111,2
20101115,1
20101116,3
20101118,3
20101119,5
20101122,4
20101123,1
20101124,4
20101126,1
20101129,2
20101130,3
20101201,1
20101202,7
20101203,4
20101207,2
20101209,3
20101210,2
20101213,2
20101214,2
20101215,1
20101216,2
20101220,2
20101222,2
20101223,1
20101224,1
20101227,5
20101228,3
20101229,3
20101230,2
20110103,2
20110105,2
20110107,1
20110110,2
20110111,4
20110112,3
20110113,1
20110114,3
20110117,4
20110118,4
20110119,1
20110120,3
20110124,1
20110125,3
20110126,1
20110128,1
20110131,1
20110201,3
20110202,1
20110203,1
20110204,3
20110207,2
20110208,1
20110209,1
20110210,1
20110211,1
20110215,5
20110216,1
20110217,1
20110218,2
20110221,1
20110222,3
20110224,3
20110301,1
20110302,2
20110303,3
20110304,2
20110307,4
20110308,1
20110309,1
20110310,3
20110311,2
20110314,3
20110315,2
20110316,1
20110322,3
20110323,3
20110325,1
20110328,1
20110329,2
20110330,2
20110331,1
20110401,1
20110404,2
20110405,2
20110406,5
20110408,1
20110412,1
20110413,2
20110414,2
20110415,2
20110418,1
20110420,1
20110427,1
20110428,1
20110503,2
20110504,1
20110505,2
20110509,1
20110511,3
20110512,3
20110513,3
20110518,3
20110524,1
20110526,1
20110527,2
20110528,0
20110530,1
20110531,1
20110601,1
20110602,1
20110603,2
20110606,1
20110607,2
20110608,1
20110609,3
20110614,2
20110615,1
20110616,2
20110617,1
20110620,2
20110621,3
20110623,2
20110627,2
20110629,2
20110630,3
20110701,1
20110704,1
20110705,1
20110706,1
20110708,2
20110711,4
20110712,3
20110713,1
20110718,3
20110722,2
20110726,1
20110727,2
20110728,2
20110801,3
20110802,3
20110804,3
20110805,2
20110808,1
20110809,1
20110810,2
20110811,1
20110812,2
20110816,4
20110817,2
20110818,2
20110819,8
20110822,5
20110823,3
20110824,2
20110825,1
20110826,1
20110829,4
20110830,2
20110831,1
20110901,1
20110902,1
20110905,7
20110906,6
20110907,2
20110908,6
20110909,5
20110912,2
20110913,3
20110914,2
20110915,3
20110916,1
20110919,3
20110920,6
20110921,2
20110922,1
20110923,1
20110926,6
20110927,2
20110928,2
20110929,1
20110930,3
20111003,4
20111004,2
20111005,2
20111007,2
20111010,2
20111011,1
20111013,2
20111014,5
20111017,1
20111020,5
20111021,3
20111024,1
20111025,7
20111026,3
20111027,2
20111028,1
20111031,6
20111102,4
20111103,5
20111104,3
20111107,2
20111108,4
20111109,2
20111110,1
20111111,4
20111114,2
20111115,4
20111116,2
20111117,3
20111118,2
20111121,2
20111122,5
20111123,5
20111124,1
20111125,3
20111129,4
20111201,1
20111202,1
20111205,4
20111207,4
20111209,3
20111212,4
20111213,4
20111214,4
20111215,2
20111219,8
20111220,5
20111223,1
20111227,2
20111228,1
20111230,2
20120101,1
20120103,3
20120104,4
20120105,1
20120109,3
20120110,3
20120111,1
20120113,2
20120115,0
20120117,4
20120118,2
20120119,2
20120120,4
20120123,3
20120124,1
20120125,3
20120127,1
20120130,2
20120131,2
20120201,3
20120202,1
20120203,1
20120206,1
20120207,1
20120208,2
20120209,5
20120210,1
20120213,5
20120215,3
20120216,2
20120217,1
20120220,5
20120221,1
20120222,2
20120224,1
20120301,5
20120302,4
20120306,1
20120307,1
20120309,3
20120312,1
20120313,2
20120315,1
20120316,1
20120319,2
20120320,1
20120321,2
20120322,1
20120327,1
20120328,2
20120404,2
20120409,3
20120411,1
20120412,1
20120413,3
20120418,2
20120419,1
20120420,2
20120426,1
20120430,3
20120502,1
20120503,3
20120504,1
20120507,2
20120508,1
20120509,2
20120511,2
20120515,2
20120516,1
20120517,2
20120518,2
20120521,1
20120524,1
20120525,4
20120528,3
20120530,1
20120601,1
20120604,3
20120606,1
20120608,4
20120612,2
20120614,1
20120615,1
20120618,1
20120620,1
20120621,1
20120622,1
20120625,1
20120626,1
20120627,2
20120628,3
20120629,3
20120702,1
20120703,1
20120704,2
20120705,2
20120706,1
20120711,4
20120712,1
20120713,2
20120718,3
20120719,2
20120720,1
20120723,3
20120724,1
20120727,1
20120730,4
20120731,3
20120801,1
20120802,2
20120803,3
20120806,1
20120807,2
20120808,4
20120809,2
20120810,2
20120811,1
20120813,2
20120814,4
20120816,4
20120817,5
20120820,1
20120821,2
20120822,2
20120824,3
20120827,3
20120828,2
20120829,2
20120830,1
20120831,1
20120903,1
20120904,1
20120910,6
20120911,3
20120912,2
20120913,1
20120914,3
20120917,5
20120918,2
20120919,3
20120921,4
20120924,5
20120925,1
20120926,1
20120927,2
20120928,3
20121001,5
20121002,2
20121003,5
20121004,1
20121005,2
20121008,3
20121009,3
20121010,2
20121011,2
20121015,4
20121016,5
20121017,3
20121018,2
20121019,4
20121022,4
20121023,2
