fecha,gasolina,diesel
2002-2,"0,76","0,67"
2002-3,"0,77","0,67"
2002-4,"0,76","0,67"
2002-5,"0,76","0,67"
2002-6,"0,77","0,67"
2002-7,"0,77","0,67"
2002-8,"0,77","0,67"
2002-9,"0,77","0,67"
2002-10,"0,77","0,67"
2002-11,"0,8","0,69"
2002-12,"0,8","0,69"
2002-13,"0,81","0,7"
2002-15,"0,83","0,7"
2002-16,"0,85","0,71"
2002-17,"0,85","0,71"
2002-18,"0,84","0,71"
2002-19,"0,84","0,71"
2002-20,"0,84","0,71"
2002-21,"0,84","0,71"
2002-22,"0,84","0,7"
2002-23,"0,82","0,69"
2002-24,"0,82","0,68"
2002-25,"0,81","0,68"
2002-26,"0,81","0,68"
2002-27,"0,81","0,68"
2002-28,"0,82","0,68"
2002-29,"0,82","0,68"
2002-30,"0,82","0,68"
2002-31,"0,82","0,68"
2002-32,"0,82","0,68"
2002-33,"0,82","0,68"
2002-34,"0,82","0,68"
2002-35,"0,82","0,69"
2002-36,"0,83","0,69"
2002-37,"0,83","0,69"
2002-38,"0,83","0,7"
2002-39,"0,83","0,7"
2002-40,"0,84","0,71"
2002-41,"0,84","0,71"
2002-42,"0,84","0,71"
2002-43,"0,84","0,71"
2002-44,"0,83","0,71"
2002-45,"0,82","0,7"
2002-46,"0,81","0,68"
2002-47,"0,79","0,67"
2002-48,"0,79","0,67"
2002-49,"0,8","0,68"
2002-50,"0,8","0,68"
2002-51,"0,8","0,68"
2003-2,"0,83","0,72"
2003-3,"0,83","0,72"
2003-4,"0,83","0,71"
2003-5,"0,83","0,72"
2003-6,"0,84","0,72"
2003-7,"0,85","0,73"
2003-8,"0,85","0,73"
2003-9,"0,86","0,74"
2003-10,"0,87","0,76"
2003-11,"0,86","0,76"
2003-12,"0,86","0,77"
2003-13,"0,85","0,77"
2003-14,"0,84","0,76"
2003-15,"0,83","0,73"
2003-16,"0,82","0,72"
2003-18,"0,81","0,7"
2003-19,"0,81","0,7"
2003-20,"0,8","0,68"
2003-21,"0,8","0,68"
2003-22,"0,79","0,67"
2003-23,"0,79","0,67"
2003-24,"0,79","0,66"
2003-25,"0,79","0,66"
2003-26,"0,79","0,66"
2003-27,"0,79","0,66"
2003-28,"0,8","0,67"
2003-29,"0,82","0,67"
2003-30,"0,82","0,67"
2003-31,"0,82","0,67"
2003-32,"0,82","0,67"
2003-34,"0,83","0,68"
2003-35,"0,84","0,68"
2003-36,"0,84","0,69"
2003-37,"0,84","0,68"
2003-38,"0,82","0,68"
2003-39,"0,81","0,66"
2003-40,"0,8","0,66"
2003-41,"0,8","0,67"
2003-42,"0,8","0,68"
2003-43,"0,8","0,69"
2003-44,"0,8","0,68"
2003-45,"0,81","0,69"
2003-46,"0,8","0,69"
2003-47,"0,8","0,68"
2003-48,"0,8","0,68"
