clave1,uniTotal
20090922,1
20090925,1
20091005,2
20091007,1
20091103,2
20091118,1
20091125,1
20091210,1
20091211,2
20100105,1
20100114,1
20100115,2
20100126,1
20100129,1
20100201,1
20100222,1
20100223,1
20100224,1
20100225,1
20100309,2
20100311,1
20100318,1
20100319,1
20100323,1
20100325,1
20100330,1
20100408,1
20100412,1
20100414,1
20100421,1
20100503,1
20100505,1
20100514,2
20100518,1
20100524,1
20100527,1
20100531,1
20100601,1
20100603,1
20100604,1
20100611,1
20100618,1
20100624,1
20100629,1
20100701,1
20100702,2
20100707,1
20100714,1
20100716,3
20100720,1
20100723,2
20100726,3
20100727,2
20100728,1
20100804,1
20100817,1
20100818,1
20100819,1
20100824,1
20100825,3
20100827,3
20100901,2
20100903,1
20100907,5
20100910,2
20100913,1
20100915,3
20100921,1
20100923,2
20100924,1
20100927,2
20100928,1
20100930,1
20101006,3
20101008,1
20101011,1
20101013,6
20101015,1
20101021,1
20101022,1
20101026,1
20101027,1
20101029,5
20101102,1
20101105,2
20101108,2
20101109,4
20101110,3
20101111,3
20101115,7
20101117,3
20101118,1
20101119,1
20101122,1
20101124,1
20101126,4
20101129,3
20101130,4
20101202,1
20101203,1
20101209,2
20101210,1
20101214,6
20101217,1
20101221,1
20101223,1
20101227,2
20101228,1
20110104,3
20110107,1
20110110,2
20110114,3
20110117,5
20110118,2
20110121,1
20110124,2
20110131,1
20110202,1
20110203,3
20110204,3
20110207,2
20110208,2
20110209,2
20110216,1
20110217,1
20110218,5
20110221,2
20110222,2
20110223,1
20110224,2
20110301,2
20110303,1
20110304,4
20110307,2
20110310,2
20110311,3
20110316,4
20110321,1
20110324,2
20110329,3
20110331,0
20110401,3
20110404,2
20110406,1
20110407,1
20110408,2
20110410,1
20110411,1
20110412,1
20110413,1
20110414,1
20110415,1
20110418,1
20110419,1
20110425,1
20110427,1
20110429,1
20110503,2
20110504,1
20110505,1
20110506,3
20110509,2
20110512,1
20110513,3
20110516,2
20110518,1
20110519,1
20110520,6
20110524,2
20110526,2
20110527,3
20110531,1
20110601,2
20110602,1
20110603,2
20110607,1
20110608,1
20110609,1
20110610,1
20110613,2
20110614,1
20110615,4
20110616,1
20110620,1
20110621,2
20110623,3
20110624,2
20110628,2
20110629,1
20110630,1
20110704,2
20110708,2
20110711,2
20110714,3
20110715,1
20110718,4
20110721,1
20110722,1
20110726,1
20110727,2
20110728,1
20110729,2
20110801,1
20110805,3
20110808,3
20110809,2
20110812,2
20110816,2
20110817,1
20110818,1
20110819,2
20110823,1
20110825,1
20110826,2
20110829,4
20110830,2
20110831,4
20110901,1
20110902,2
20110906,2
20110907,1
20110908,2
20110909,1
20110912,1
20110913,1
20110915,1
20110916,-1
20110921,1
20110922,3
20110926,1
20110929,1
20111003,1
20111004,1
20111006,3
20111007,1
20111010,4
20111011,4
20111013,3
20111014,8
20111017,2
20111019,1
20111020,1
20111021,1
20111024,1
20111025,5
20111031,3
20111102,3
20111103,2
20111104,2
20111107,1
20111108,1
20111111,2
20111114,1
20111115,1
20111116,1
20111117,1
20111118,1
20111121,2
20111122,1
20111124,1
20111125,2
20111129,2
20111201,1
20111202,2
20111205,1
20111207,2
20111209,6
20111212,3
20111214,5
20111215,4
20111216,6
20111219,1
20111220,1
20111221,1
20111222,3
20111227,1
20111229,2
20111230,3
20120103,1
20120104,6
20120109,1
20120111,2
20120113,1
20120118,3
20120119,2
20120123,2
20120126,4
20120127,1
20120130,2
20120201,1
20120202,2
20120203,3
20120208,4
20120209,4
20120210,1
20120216,2
20120217,3
20120220,7
20120222,2
20120224,2
20120227,1
20120301,2
20120302,4
20120305,1
20120306,3
20120307,3
20120308,1
20120309,3
20120313,4
20120314,1
20120315,1
20120319,2
20120320,2
20120321,1
20120322,2
20120323,2
20120326,3
20120327,1
20120330,2
20120404,1
20120409,3
20120410,3
20120411,4
20120413,3
20120416,2
20120417,2
20120418,1
20120420,3
20120426,2
20120427,1
20120430,1
20120503,1
20120504,2
20120507,1
20120508,3
20120510,1
20120516,1
20120517,1
20120521,2
20120523,1
20120525,3
20120529,1
20120530,2
20120531,4
20120604,2
20120605,3
20120606,1
20120608,2
20120612,4
20120613,3
20120615,2
20120618,2
20120619,1
20120620,2
20120622,4
20120626,3
20120627,1
20120628,2
20120629,1
20120702,1
20120703,1
20120704,1
20120709,2
20120710,1
20120712,2
20120716,5
20120718,3
20120720,4
20120724,1
20120726,7
20120727,1
20120801,3
20120802,6
20120803,3
20120806,1
20120808,1
20120809,2
20120810,4
20120814,3
20120816,6
20120817,1
20120820,3
20120821,3
20120822,4
20120824,1
20120827,2
20120828,1
20120829,2
20120830,3
20120831,3
20120903,2
20120904,2
20120907,2
20120910,2
20120911,7
20120913,1
20120914,6
20120917,3
20120918,2
20120919,2
20120924,1
20120925,5
20120926,2
20120927,3
20120928,1
20121001,2
20121002,2
20121003,4
20121004,2
20121008,1
20121010,2
20121016,4
20121017,2
20121018,1
20121019,3
20121022,2
20121023,4
20121024,2
20121025,3
20121026,3
20121029,1
20121030,4
20121031,2
20121102,1
20121105,1
20121107,3
20121108,1
20121109,2
20121112,3
20121114,5
20121115,2
20121116,2
20121119,4
20121120,4
20121121,4
20121122,2
20121123,5
20121126,1
20121127,3
20121128,1
20121129,3
20121130,1
20121203,2
20121204,1
20121205,4
20121207,2
20121210,3
20121211,2
20121212,1
20121214,3
20121217,2
20121218,2
20121219,2
20121220,2
20121221,4
20121227,5
20121228,2
20121231,2
20130103,1
20130104,3
20130108,3
20130109,11
20130110,7
20130111,1
20130115,3
20130116,3
20130117,3
20130118,1
20130121,3
20130122,5
20130123,4
20130125,6
20130129,2
20130130,2
20130131,1
20130201,2
20130204,3
20130205,2
20130206,1
20130207,1
20130208,4
20130211,3
20130212,2
20130213,3
20130214,5
20130215,2
20130220,6
20130221,5
20130222,9
20130225,4
20130226,3
20130227,6
20130301,3
20130304,2
20130305,5
20130307,4
20130308,1
20130311,5
20130312,1
20130313,2
20130314,6
20130318,2
20130319,7
20130320,5
20130321,3
20130322,8
20130325,2
20130326,10
20130327,2
20130401,3
20130402,1
20130403,4
20130404,5
20130405,4
20130408,2
20130409,1
20130410,5
20130411,9
20130415,6
20130416,2
20130417,2
20130418,3
20130419,3
20130422,2
20130423,2
20130424,8
20130425,3
20130426,2
20130429,6
20130430,7
20130502,2
20130503,9
20130506,2
20130507,5
20130508,4
20130509,2
20130510,4
20130513,3
20130514,4
20130515,2
20130516,5
20130517,6
20130521,3
20130522,3
20130523,1
20130524,4
20130525,1
20130527,1
20130528,2
20130529,7
20130530,3
20130531,2
20130603,5
20130604,4
20130605,3
20130606,4
20130607,1
20130611,3
20130612,3
20130613,5
20130614,5
20130617,5
20130618,8
20130619,4
20130620,5
20130621,7
20130624,2
20130625,2
20130626,1
20130627,7
20130628,6
20130701,3
20130702,3
20130703,3
20130704,3
20130705,2
20130708,4
20130709,2
20130710,2
20130711,8
20130712,7
20130715,3
20130717,2
20130719,2
20130722,2
20130723,2
20130724,1
20130725,5
20130726,9
20130729,4
20130730,2
20130801,4
20130802,2
20130805,2
20130806,2
20130807,4
20130808,3
20130812,2
20130813,2
20130814,2
20130816,3
20130819,1
20130820,7
20130821,1
20130823,5
20130826,1
20130827,5
20130828,1
20130829,3
20130830,6
20130902,3
20130904,4
20130905,4
20130906,3
20130909,2
20130910,4
20130911,2
20130912,2
20130913,4
20130916,1
20130917,8
20130918,7
20130919,4
20130920,3
20130923,5
20130924,4
20130925,2
20130926,3
20130930,4
20131001,2
20131002,3
20131003,4
20131004,4
20131007,6
20131008,5
20131009,3
20131010,3
20131011,9
20131014,5
20131015,2
20131016,7
20131017,3
20131021,4
20131022,2
20131023,4
20131024,5
20131028,3
20131029,6
20131030,3
20131031,4
20131104,2
20131105,10
20131106,5
20131107,1
20131108,7
20131111,5
20131112,2
20131113,5
20131114,7
20131115,4
20131118,4
20131119,1
20131120,5
20131121,3
20131122,2
