clave1,uniTotal
20090915,3
20090918,6
20090919,6
20090922,9
20090923,1
20090925,5
20090928,8
20090929,2
20090930,4
20091005,1
20091006,4
20091007,7
20091008,12
20091009,12
20091013,2
20091014,3
20091015,9
20091016,1
20091019,2
20091020,4
20091021,6
20091022,13
20091023,2
20091024,2
20091026,6
20091027,-1
20091028,15
20091029,8
20091030,8
20091103,6
20091104,5
20091105,7
20091106,9
20091109,7
20091110,8
20091111,8
20091112,14
20091113,7
20091116,3
20091117,5
20091118,7
20091119,6
20091120,7
20091123,4
20091124,1
20091125,13
20091126,4
20091127,3
20091130,2
20091201,6
20091202,10
20091203,-1
20091204,4
20091207,3
20091209,4
20091210,7
20091211,10
20091214,7
20091215,3
20091216,12
20091217,4
20091218,9
20091221,7
20091222,1
20091223,15
20091224,5
20091228,5
20091229,9
20091230,9
20091231,1
20100104,4
20100105,3
20100107,10
20100108,4
20100111,12
20100112,2
20100113,6
20100114,4
20100115,4
20100118,3
20100119,6
20100120,4
20100121,21
20100122,4
20100125,8
20100126,9
20100127,4
20100128,8
20100129,9
20100201,3
20100202,4
20100203,10
20100204,5
20100205,4
20100208,5
20100209,6
20100210,3
20100211,7
20100212,12
20100215,7
20100216,19
20100217,6
20100218,5
20100219,11
20100222,10
20100223,15
20100224,8
20100225,11
20100226,9
20100302,10
20100303,9
20100304,9
20100305,11
20100308,13
20100309,14
20100310,4
20100311,4
20100312,5
20100315,7
20100316,3
20100317,7
20100318,12
20100319,11
20100322,13
20100323,2
20100324,4
20100325,4
20100326,8
20100329,12
20100330,7
20100331,7
20100405,3
20100406,2
20100407,17
20100408,24
20100409,6
20100412,8
20100413,9
20100414,6
20100415,9
20100416,7
20100419,3
20100420,3
20100421,4
20100422,11
20100423,5
20100426,6
20100427,2
20100428,8
20100429,1
20100430,5
20100502,1
20100503,4
20100504,2
20100505,1
20100506,10
20100507,9
20100510,4
20100511,6
20100512,5
20100513,5
20100514,3
20100517,8
20100518,20
20100519,11
20100520,5
20100521,10
20100524,8
20100525,14
20100526,16
20100527,4
20100528,9
20100531,12
20100601,5
20100602,9
20100603,6
20100604,4
20100606,2
20100607,5
20100608,14
20100609,3
20100610,12
20100611,6
20100614,9
20100615,8
20100616,8
20100617,4
20100618,9
20100620,3
20100621,7
20100622,6
20100623,7
20100624,4
20100625,2
20100628,3
20100629,9
20100630,1
20100701,13
20100702,10
20100705,8
20100706,3
20100707,5
20100708,9
20100709,12
20100712,9
20100713,7
20100714,13
20100715,8
20100716,12
20100719,7
20100720,16
20100721,6
20100722,12
20100723,7
20100726,3
20100727,2
20100728,2
20100729,5
20100730,-4
20100802,11
20100803,8
20100804,2
20100805,10
20100806,2
20100809,7
20100810,12
20100811,13
20100812,4
20100813,8
20100817,5
20100818,10
20100819,9
20100820,15
20100823,14
20100824,16
20100825,8
20100826,7
20100827,5
20100830,3
20100831,10
20100901,11
20100902,5
20100903,2
20100906,12
20100907,3
20100908,9
20100909,5
20100910,13
20100913,12
20100914,18
20100915,5
20100916,5
20100917,9
20100920,16
20100921,14
20100922,11
20100923,20
20100924,3
20100927,10
20100928,4
20100929,3
20100930,28
20101001,6
20101003,4
20101004,13
20101005,12
20101006,5
20101007,16
20101008,6
20101011,6
20101013,11
20101014,9
20101015,7
20101018,13
20101019,4
20101020,12
20101021,8
20101022,8
