clave1,uniTotal
20091013,11
20091016,1
20091019,15
20091021,2
20091027,2
20091028,1
20091103,2
20091109,3
20091110,1
20091111,2
20091113,1
20091119,1
20091120,1
20091126,2
20091130,2
20091201,0
20091203,3
20091204,2
20091209,2
20091211,4
20091215,2
20091216,2
20091218,1
20091222,3
20091228,2
20091229,2
20100104,6
20100105,10
20100113,1
20100114,2
20100118,2
20100121,2
20100126,5
20100127,3
20100202,8
20100204,3
20100205,1
20100208,3
20100210,6
20100212,2
20100215,4
20100216,2
20100219,1
20100223,3
20100225,3
20100302,3
20100303,3
20100304,5
20100305,3
20100323,2
20100326,3
20100329,2
20100422,2
20100423,2
20100426,1
20100513,3
20100609,4
20100610,4
20100616,1
20100624,1
20100722,1
20100723,4
20100729,1
20100809,1
20100812,4
20100825,1
20100827,2
20100903,2
20100907,2
20100914,12
20100915,2
20100916,18
20100917,12
20100920,3
20100921,2
20100922,1
20100923,6
20100924,2
20100928,4
20101004,1
20101005,4
20101006,2
20101007,2
20101008,8
20101011,5
20101013,1
20101014,1
20101015,2
20101018,2
20101019,9
20101025,1
20101028,3
20101029,1
20101105,5
20101109,2
20101110,3
20101111,8
20101112,1
20101117,2
20101119,2
20101122,3
20101123,2
20101124,4
20101125,3
20101126,2
20101129,2
20101130,3
20101201,9
20101207,9
20101209,1
20101210,6
20101213,2
20101214,1
20101216,1
20101220,1
20101221,1
20101222,2
20101223,3
20101228,3
20101229,2
20101230,2
20101231,8
20110107,3
20110110,2
20110111,2
20110112,5
20110114,2
20110120,2
20110125,3
20110127,3
20110128,4
20110201,2
20110202,2
20110209,-2
20110215,1
20110216,1
20110304,2
20110308,1
20110309,3
20110314,4
20110315,11
20110317,1
20110324,1
20110407,2
20110413,3
20110414,1
20110418,3
20110420,4
20110425,2
20110428,1
20110429,2
20110504,1
20110513,1
20110519,2
20110520,2
20110524,2
20110530,2
20110603,2
20110607,1
20110621,2
20110704,1
20110706,1
20110708,1
20110712,2
20110713,1
20110720,1
20110727,2
20110808,1
20110818,3
20110819,3
20110823,2
20110825,1
20110831,1
20110901,6
20110902,10
20110905,2
20110906,1
20110907,1
20110908,2
20110912,2
20110915,1
20110920,2
20110921,1
20110928,1
20110930,2
20111003,2
20111004,2
20111005,2
20111019,2
20111027,1
20111031,1
20111102,2
20111103,7
20111104,10
20111107,5
20111109,1
20111114,1
20111117,2
20111118,1
20111124,2
20111129,2
20111201,2
20111205,2
20111212,2
20111216,2
20111219,1
20111229,1
20120103,1
20120104,2
20120110,1
20120112,2
20120115,0
20120116,3
20120120,2
20120126,2
20120202,4
20120203,1
20120223,2
20120227,2
20120229,2
20120301,1
20120306,2
20120315,2
20120319,3
20120320,1
20120326,3
20120327,2
20120328,2
20120402,1
20120404,2
20120411,1
20120413,1
20120418,1
20120426,3
20120503,2
20120504,4
20120508,1
20120521,2
20120530,1
20120601,1
20120612,2
20120613,1
20120614,-2
20120628,2
20120701,1
20120705,1
20120710,1
20120711,1
20120717,2
20120720,1
20120725,8
20120730,2
20120807,1
20120808,2
20120814,3
20120823,2
20120824,2
20120827,2
20120905,3
20120912,1
20120913,2
20120918,2
20120921,3
20120924,2
20120925,7
20120926,17
20120927,13
20120928,8
20121002,1
20121003,2
20121004,1
20121005,1
20121009,2
20121010,5
20121011,1
20121015,3
20121016,1
20121017,3
20121018,2
20121019,4
20121022,6
20121023,3
20121024,3
20121025,7
20121026,13
20121029,1
20121030,3
20121031,7
20121102,5
20121105,6
20121106,8
20121107,4
20121108,6
20121109,1
20121112,-1
20121113,3
20121115,1
20121116,2
20121119,4
20121120,2
20121121,2
20121123,1
20121126,1
20121127,3
20121128,1
20121130,6
20121204,2
20121205,5
20121207,2
20121210,5
20121211,2
20121213,2
20121214,3
20121217,6
20121219,2
20121220,1
20121221,1
20121224,2
20121226,3
20121227,2
20121229,1
20121231,1
20130108,1
20130109,2
20130111,3
20130115,1
20130116,8
20130117,3
20130118,8
20130121,3
20130122,3
20130123,4
20130124,7
20130125,2
20130131,1
20130201,1
20130206,5
20130207,1
20130211,2
20130218,4
20130219,2
20130220,1
20130221,2
20130222,4
20130225,1
20130304,7
20130305,6
20130306,7
20130307,8
20130308,7
20130311,6
20130312,3
20130314,3
20130318,2
20130319,6
20130320,2
20130321,2
20130322,5
20130327,4
20130401,2
20130402,1
20130403,3
20130405,1
20130408,4
20130409,-1
20130411,3
20130418,2
20130419,1
20130429,5
20130430,2
20130502,1
20130503,2
20130509,2
20130510,2
20130513,2
20130515,4
20130516,1
20130517,3
20130520,1
20130521,2
20130523,2
20130527,1
20130530,1
20130604,1
20130605,1
20130611,1
20130614,2
20130618,2
20130626,1
20130701,1
20130702,2
20130703,2
20130704,2
20130710,2
20130716,2
20130717,5
20130723,2
20130724,2
20130725,2
20130729,2
20130801,1
20130802,3
20130812,1
20130813,1
20130814,2
20130820,1
20130821,2
20130823,1
20130826,2
20130828,4
20130829,1
20130830,3
20130902,1
20130903,2
20130904,2
20130905,2
20130906,2
20130909,2
20130910,5
20130911,1
20130912,6
20130913,1
20130916,4
20130917,2
20130918,1
20130919,3
20130920,2
20130923,2
20130924,4
20130925,1
20130926,2
20130927,7
20130930,21
20131001,9
20131002,4
20131003,8
20131004,3
20131007,3
20131008,1
20131009,6
20131011,1
20131014,3
20131015,1
20131016,1
20131018,3
20131022,9
20131023,12
20131024,2
20131025,8
20131028,1
20131029,1
20131030,3
20131031,1
20131104,2
20131105,5
20131106,1
20131107,3
20131112,5
20131114,3
20131115,2
20131118,2
20131119,2
20131120,5
20131121,2
20131122,9
20131125,3
20131126,11
20131127,1
20131128,2
20131129,3
20131203,-2
20131204,3
20131205,4
20131210,6
20131211,1
20131212,1
20131213,4
20131216,8
20131217,5
20131218,9
20131219,11
20131220,6
20131223,2
