clave1,uniTotal
20090917,3
20090918,2
20090919,1
20090922,2
20090923,1
20090925,1
20090928,1
20091005,2
20091006,3
20091007,3
20091009,1
20091014,1
20091015,3
20091016,0
20091019,2
20091020,2
20091021,2
20091026,3
20091027,4
20091028,1
20091030,2
20091103,3
20091105,2
20091109,5
20091110,5
20091111,2
20091112,1
20091116,1
20091117,1
20091118,1
20091119,1
20091120,2
20091123,1
20091124,3
20091125,1
20091126,3
20091127,2
20091130,2
20091201,1
20091202,7
20091203,2
20091204,2
20091209,1
20091210,5
20091211,4
20091214,1
20091215,1
20091216,1
20091217,3
20091222,3
20091223,1
20091229,5
20091230,2
20091231,1
20100104,2
20100105,1
20100108,4
20100112,4
20100113,0
20100114,4
20100115,2
20100118,4
20100119,3
20100120,4
20100121,1
20100122,2
20100126,4
20100127,3
20100128,2
20100129,1
20100201,2
20100202,4
20100203,2
20100204,3
20100205,3
20100208,5
20100210,2
20100211,2
20100212,1
20100216,2
20100217,3
20100218,1
20100219,2
20100223,4
20100224,3
20100225,2
20100226,4
20100302,4
20100303,3
20100304,6
20100308,6
20100309,1
20100311,7
20100312,5
20100315,4
20100316,-1
20100317,2
20100318,3
20100319,3
20100322,2
20100323,1
20100325,4
20100326,1
20100329,2
20100330,2
20100331,1
20100405,2
20100407,2
20100408,3
20100409,2
20100412,5
20100413,6
20100414,6
20100415,1
20100416,1
20100419,3
20100420,4
20100421,6
20100422,5
20100423,2
20100426,1
20100428,6
20100429,3
20100430,2
20100503,2
20100505,2
20100506,5
20100507,1
20100510,4
20100511,2
20100513,3
20100514,1
20100517,1
20100518,1
20100519,4
20100520,3
20100521,5
20100524,6
20100525,4
20100526,3
20100527,5
20100531,1
20100601,2
20100602,1
20100603,4
20100604,1
20100606,1
20100607,5
20100608,3
20100609,1
20100610,1
20100611,1
20100614,1
20100615,8
20100616,1
20100618,1
20100621,4
20100622,2
20100624,4
20100625,1
20100628,2
20100629,2
20100630,6
20100701,3
20100702,6
20100705,1
20100706,2
20100707,1
20100708,1
20100712,1
20100713,1
20100714,3
20100715,1
20100716,2
20100719,1
20100720,2
20100721,2
20100722,1
20100723,6
20100726,8
20100727,1
20100728,2
20100729,2
20100730,2
20100802,2
20100803,5
20100804,2
20100805,2
20100806,2
20100809,4
20100810,4
20100811,1
20100813,5
20100817,1
20100818,7
20100819,1
20100820,2
20100823,2
20100824,7
20100825,7
20100826,7
20100827,4
20100830,3
20100831,5
20100901,6
20100902,4
20100903,2
20100906,1
20100907,5
20100908,7
20100909,4
20100910,4
20100913,6
20100914,6
20100915,8
20100916,3
20100917,2
20100920,7
20100921,7
20100922,5
20100923,3
20100924,9
20100927,4
20100928,1
20100929,3
20100930,4
20101001,5
20101003,1
20101004,7
20101005,5
20101006,1
20101007,6
20101008,2
20101011,3
20101013,6
20101014,7
20101015,5
20101018,5
20101019,6
20101020,7
20101021,6
20101022,1
20101025,4
20101026,5
20101027,3
20101028,5
